id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix
hollywood_north,Hollywood North,20,44,NA,NA,2003-09-05,2004-01-06,87,Comedy,English,Peter O'Brian,Tony Johnston,NA,Franchise Pictures,NA
ecstasy_2012,Irvine Welsh's Ecstasy,24,15,NA,NA,2012-09-06,2013-04-23,99,"Drama, Romance",English,Rob Heydon,"Rob Heydon,Matt MacLennan,Paul McCafferty,Ben Tucker",NA,Intandem Films,NA
the_last_mercenary,The Last Mercenary,38,58,NA,NA,NA,2021-07-30,110,"Action, Comedy",French (France),David Charhon,David Charhon,NA,NA,NA
grandma_2015,Grandma,67,91,R,"['Some Drug Use', 'Language']",2015-08-21,2016-02-09,78,"Comedy, Drama",English,Paul Weitz,Paul Weitz,$7.0M,Sony Pictures Classics,NA
the_angry_birds_movie,The Angry Birds Movie,46,43,PG,['Rude Humor and Action'],2016-05-20,2016-08-16,93,"Kids & family, Comedy, Adventure, Action, Animation",English,"Clay Kaytis,Fergal Reilly",Jon Vitti,$107.5M,Sony Pictures Entertainment,NA
illegally_yours,Illegally Yours,26,0,NA,NA,NA,2006-08-01,101,Comedy,English,Peter Bogdanovich,"Michael B. Kaplan,John Levenstein,Ken Finkleman",$123.1K,NA,NA
sixth_sense,The Sixth Sense,90,86,PG-13,"['Violent Imagery', 'Intense Thematic Material']",1999-08-06,2003-09-02,107,Mystery & thriller,English,M. Night Shyamalan,M. Night Shyamalan,$293.5M,Buena Vista Pictures,"Dolby SR, DTS, SDDS, Surround, Dolby A, Dolby Digital"
the_pact_2012,The Pact,41,66,R,"['Strong Bloody Violence', 'Language']",2012-07-06,2012-11-27,89,"Horror, Mystery & thriller",English,Nicholas McCarthy,Nicholas McCarthy,NA,IFC Films,NA
unstrung_heroes,Unstrung Heroes,61,75,NA,NA,1995-09-15,2003-06-03,94,Drama,English,Diane Keaton,"Franz Lidz,Richard LaGravenese",$7.9M,Buena Vista Pictures,Surround
12_rounds,12 Rounds,45,31,PG-13,"['Intense Sequences of Violence', 'Intense Sequences of Action']",2009-03-27,2009-06-30,108,"Action, Mystery & thriller",English,Renny Harlin,Daniel Kunka,$12.2M,20th Century Fox,NA
eighth_grade,Eighth Grade,82,99,R,"['Some Sexual Material', 'Language']",2018-08-03,2018-10-09,93,"Comedy, Drama",English,Bo Burnham,Bo Burnham,$13.5M,A24,NA
something_borrowed_2011,Something Borrowed,48,15,PG-13,"['Some Drug Material', 'Sexual Content/Dialogue']",2011-05-06,2011-08-16,112,"Romance, Comedy",English,Luke Greenfield,Jennie Snyder Urman,$39.0M,Warner Bros. Pictures,NA
guest_of_cindy_sherman,Guest of Cindy Sherman,64,71,NA,NA,NA,2010-12-14,88,Documentary,English,"Tom Donahue,Paul H-O",NA,NA,NA,NA
kurt_vonnegut_unstuck_in_time,Kurt Vonnegut: Unstuck in Time,92,93,NA,NA,2021-11-19,2021-11-19,127,"Documentary, Biography",English,"Robert B. Weide,Don Argott","Robert B. Weide,Robert B. Weide",$60.0K,IFC Films,NA
sparrows-cant-sing,Sparrows Can't Sing,50,80,NA,NA,NA,NA,94,"Comedy, Drama",English,Joan Littlewood,"Joan Littlewood,Stephen Lewis",NA,NA,NA
1020130-sting,The Sting,95,92,NA,NA,1973-12-25,1998-03-31,129,"Comedy, Drama",English,George Roy Hill,NA,NA,"MCA/Universal Home Video, Universal Pictures, Universal Home Entertainment",NA
1113180-drift,Drift,26,63,NA,NA,2002-04-05,2002-05-21,86,"Drama, Lgbtq+",English,"Quentin Lee,Damon Santostefano,Maurus vom Scheidt","Quentin Lee,Maurus vom Scheidt",$7.6K,NA,"Dolby SR, Dolby Digital, Dolby A, Dolby Stereo"
found_footage_3d,Found Footage,48,100,R,"['A Scene of Sexuality', 'Violence/Gore', 'Language Throughout']",NA,2017-10-29,100,Horror,English,Steven DeGennaro,Steven DeGennaro,NA,NA,NA
project_a,Project A,83,77,NA,NA,NA,2004-03-10,100,Action,Chinese,Jackie Chan,"Jackie Chan,Edward Tang",NA,NA,NA
dancing_at_lughnasa,Dancing at Lughnasa,58,60,NA,NA,1998-09-12,2001-06-05,92,Drama,English,Pat O'Connor,Frank McGuinness,$2.3M,Sony Pictures Classics,"Surround, Dolby Digital"
give_me_liberty_2019,Give Me Liberty,73,89,NA,NA,2019-08-23,2020-01-12,110,"Comedy, Drama",English,Kirill Mikhanovsky,"Kirill Mikhanovsky,Alice Austen",$242.4K,Music Box Films,NA
funky_forest_the_first_contact,Funky Forest: The First Contact,78,29,NA,NA,NA,2008-03-18,105,Comedy,Japanese,"Katsuhito Ishii,Hajime Ishimine,Shunichiro Miki","Shunichiro Miki,Hajime Ishimine,Katsuhito Ishii",NA,NA,NA
the_last_race_2018,The Last Race,63,93,NA,NA,2018-11-16,2019-02-19,74,Documentary,English,Michael Dweck,"Michael Dweck,Gregory Kershaw",$10.8K,Magnolia Pictures,NA
serpent_and_the_rainbow,The Serpent and the Rainbow,57,64,NA,NA,1988-01-15,2003-10-07,98,Horror,English,Wes Craven,NA,$19.0M,"MCA/Universal Pictures [us], Image Entertainment Inc.",Surround
living_and_the_dead,The Living and the Dead,59,91,NA,NA,NA,2008-03-25,83,"Drama, Horror, Mystery & thriller",English,Simon Rumley,Simon Rumley,NA,NA,NA
undisputed,Undisputed,46,48,R,['Strong Language'],2002-08-23,2002-11-26,94,"Drama, Action",English,Walter Hill,"David Giler,Walter Hill",NA,Miramax Films,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo"
sheherezade,Shéhérezade,93,100,NA,NA,NA,NA,NA,NA,NA,Jean-Bernard Marlin,NA,NA,NA,NA
better_living_through_circuitry,Better Living Through Circuitry,85,82,NA,NA,1999-08-14,2005-03-01,85,Documentary,English,Jon Reiss,NA,$83.1K,Seventh Art Releasing,NA
say_it_isnt_so,Say It Isn't So,31,8,R,"['Language', 'Crude Humor', 'Strong Sexual Content']",2001-03-23,2001-08-21,95,Comedy,English,James B. Rogers,"Peter Gaulke,Gerry Swallow",$5.5M,20th Century Fox,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital"
housos_vs_authority,Housos Vs. Authority,49,67,NA,NA,NA,NA,NA,NA,NA,Unknown Director,NA,NA,NA,NA
1067318-reckless,Reckless,50,14,NA,NA,NA,NA,91,Fantasy,English,Norman René,NA,$103.4K,NA,Stereo
atlantic_city,Atlantic City,77,100,NA,NA,1981-04-03,2013-01-01,104,"Comedy, Drama",English,Louis Malle,John Guare,NA,Paramount Pictures,NA
the_gentlemen,The Gentlemen,84,75,R,"['Language Throughout', 'Drug Content', 'Sexual References', 'Violence']",2020-01-24,2020-03-24,113,"Crime, Drama, Comedy",English,Guy Ritchie,Guy Ritchie,$36.5M,STX Films,"Dolby Atmos, Dolby Digital"
i_love_you_man,"I Love You, Man",74,83,R,"['Pervasive Language', 'Crude References', 'Sexual References']",2009-03-20,2009-08-11,105,Comedy,English,John Hamburg,"John Hamburg,Larry Levin",$71.3M,"DreamWorks SKG, Paramount Pictures",NA
crime-without-passion,Crime Without Passion,50,100,NA,NA,NA,2018-04-10,72,"Crime, Drama",English,"Ben Hecht,Charles MacArthur",NA,NA,NA,NA
faces-of-death,Faces of Death,40,27,NA,NA,NA,NA,105,Horror,English,John Alan Schwartz,John Alan Schwartz,NA,NA,Mono
four_2013,Four,64,67,NA,NA,NA,NA,NA,NA,NA,Unknown Director,NA,NA,NA,NA
beauty-and-the-beast-the-enchanted-christmas,Beauty and the Beast: The Enchanted Christmas,55,13,NA,NA,NA,2011-11-22,72,"Kids & family, Holiday, Musical, Animation",English,Andy Knight,Flip Kobler,NA,NA,Surround
asterix_the_secret_of_the_magic_potion,Asterix: The Secret of the Magic Potion,71,65,NA,NA,NA,NA,85,"Kids & family, Adventure, Animation",Latin,"Alexandre Astier,Louis Clichy",Alexandre Astier,NA,NA,NA
rudo_y_cursi,Rudo y Cursi,66,73,R,"['Pervasive Language', 'Brief Drug Use', 'Sexual Content']",2009-05-08,2009-08-25,103,"Comedy, Drama",Spanish,Carlos Cuarón,Carlos Cuarón,$1.8M,Sony Pictures Classics,NA
the_return_of_the_vampire,The Return of the Vampire,34,75,NA,NA,NA,2002-08-13,69,Horror,English,"Lew Landers,Kurt Neumann",NA,NA,NA,NA
42_grams,42 Grams,69,100,NA,NA,NA,2017-11-17,82,"Documentary, Biography, Drama",English,Jack C. Newell,Jack C. Newell,NA,NA,NA
